#      date    lon    lat    value 
 1979-01-01 286.25  19.75 -9.96921e+36 
 1979-01-01 286.75  19.75  1.72734 
 1979-01-01 287.25  19.75  3.99605 
 1979-01-01 287.75  19.75  13.0037 
 1979-01-01 288.25  19.75  21.2875 
 1979-01-01 288.75  19.75  25.9882 
 1979-01-01 289.25  19.75  29.9738 
 1979-01-01 289.75  19.75   34.387 
 1979-01-01 290.25  19.75  30.6183 
 1979-01-01 290.75  19.75 -9.96921e+36 
 1979-01-01 291.25  19.75 -9.96921e+36 
 1979-01-01 291.75  19.75 -9.96921e+36 
 1979-01-01 292.25  19.75 -9.96921e+36 
 1979-01-01 292.75  19.75 -9.96921e+36 
 1979-01-01 293.25  19.75 -9.96921e+36 
 1979-01-01 293.75  19.75 -9.96921e+36 
 1979-01-01 294.25  19.75 -9.96921e+36 
 1979-01-01 294.75  19.75 -9.96921e+36 
 1979-01-01 295.25  19.75 -9.96921e+36 
 1979-01-01 295.75  19.75 -9.96921e+36 
 1979-01-01 296.25  19.75 -9.96921e+36 
 1979-01-01 296.75  19.75 -9.96921e+36 
 1979-01-01 297.25  19.75 -9.96921e+36 
 1979-01-01 297.75  19.75 -9.96921e+36 
 1979-01-01 298.25  19.75 -9.96921e+36 
 1979-01-01 298.75  19.75 -9.96921e+36 
 1979-01-01 299.25  19.75 -9.96921e+36 
 1979-01-01 299.75  19.75 -9.96921e+36 
 1979-01-01 300.25  19.75 -9.96921e+36 
 1979-01-01 300.75  19.75 -9.96921e+36 
 1979-01-01 301.25  19.75 -9.96921e+36 
 1979-01-01 301.75  19.75 -9.96921e+36 
 1979-01-01 302.25  19.75 -9.96921e+36 
 1979-01-01 302.75  19.75 -9.96921e+36 
 1979-01-01 303.25  19.75 -9.96921e+36 
 1979-01-01 303.75  19.75 -9.96921e+36 
 1979-01-01 304.25  19.75 -9.96921e+36 
 1979-01-01 304.75  19.75 -9.96921e+36 
 1979-01-01 305.25  19.75 -9.96921e+36 
 1979-01-01 305.75  19.75 -9.96921e+36 
 1979-01-01 306.25  19.75 -9.96921e+36 
 1979-01-01 306.75  19.75 -9.96921e+36 
 1979-01-01 307.25  19.75 -9.96921e+36 
 1979-01-01 307.75  19.75 -9.96921e+36 
 1979-01-01 308.25  19.75 -9.96921e+36 
 1979-01-01 308.75  19.75 -9.96921e+36 
 1979-01-01 309.25  19.75 -9.96921e+36 
 1979-01-01 309.75  19.75 -9.96921e+36 
 1979-01-01 310.25  19.75 -9.96921e+36 
 1979-01-01 310.75  19.75 -9.96921e+36 
 1979-01-01 311.25  19.75 -9.96921e+36 
 1979-01-01 311.75  19.75 -9.96921e+36 
 1979-01-01 312.25  19.75 -9.96921e+36 
 1979-01-01 312.75  19.75 -9.96921e+36 
 1979-01-01 313.25  19.75 -9.96921e+36 
 1979-01-01 313.75  19.75 -9.96921e+36 
 1979-01-01 314.25  19.75 -9.96921e+36 
 1979-01-01 314.75  19.75 -9.96921e+36 
 1979-01-01 315.25  19.75 -9.96921e+36 
 1979-01-01 315.75  19.75 -9.96921e+36 
 1979-01-01 316.25  19.75 -9.96921e+36 
 1979-01-01 316.75  19.75 -9.96921e+36 
 1979-01-01 317.25  19.75 -9.96921e+36 
 1979-01-01 317.75  19.75 -9.96921e+36 
 1979-01-01 318.25  19.75 -9.96921e+36 
 1979-01-01 318.75  19.75 -9.96921e+36 
 1979-01-01 319.25  19.75 -9.96921e+36 
 1979-01-01 319.75  19.75 -9.96921e+36 
 1979-01-01 320.25  19.75 -9.96921e+36 
 1979-01-01 320.75  19.75 -9.96921e+36 
 1979-01-01 321.25  19.75 -9.96921e+36 
 1979-01-01 321.75  19.75 -9.96921e+36 
 1979-01-01 322.25  19.75 -9.96921e+36 
 1979-01-01 322.75  19.75 -9.96921e+36 
 1979-01-01 323.25  19.75 -9.96921e+36 
 1979-01-01 323.75  19.75 -9.96921e+36 
 1979-01-01 324.25  19.75 -9.96921e+36 
 1979-01-01 324.75  19.75 -9.96921e+36 
 1979-01-01 325.25  19.75 -9.96921e+36 
 1979-01-01 325.75  19.75 -9.96921e+36 
 1979-01-01 326.25  19.75 -9.96921e+36 
 1979-01-01 326.75  19.75 -9.96921e+36 
 1979-01-01 327.25  19.75 -9.96921e+36 
 1979-01-01 327.75  19.75 -9.96921e+36 
 1979-01-01 328.25  19.75 -9.96921e+36 
 1979-01-01 328.75  19.75 -9.96921e+36 
 1979-01-01 329.25  19.75 -9.96921e+36 
 1979-01-01 329.75  19.75 -9.96921e+36 
 1979-01-01 330.25  19.75 -9.96921e+36 
 1979-01-01 330.75  19.75 -9.96921e+36 
 1979-01-01 331.25  19.75 -9.96921e+36 
 1979-01-01 331.75  19.75 -9.96921e+36 
 1979-01-01 332.25  19.75 -9.96921e+36 
 1979-01-01 332.75  19.75 -9.96921e+36 
 1979-01-01 333.25  19.75 -9.96921e+36 
 1979-01-01 333.75  19.75 -9.96921e+36 
 1979-01-01 334.25  19.75 -9.96921e+36 
 1979-01-01 334.75  19.75 -9.96921e+36 
 1979-01-01 335.25  19.75 -9.96921e+36 
 1979-01-01 335.75  19.75 -9.96921e+36 
 1979-01-01 336.25  19.75 -9.96921e+36 
 1979-01-01 336.75  19.75 -9.96921e+36 
 1979-01-01 337.25  19.75 -9.96921e+36 
 1979-01-01 337.75  19.75 -9.96921e+36 
 1979-01-01 338.25  19.75 -9.96921e+36 
 1979-01-01 338.75  19.75 -9.96921e+36 
 1979-01-01 339.25  19.75 -9.96921e+36 
 1979-01-01 339.75  19.75 -9.96921e+36 
 1979-01-01 340.25  19.75 -9.96921e+36 
 1979-01-01 340.75  19.75 -9.96921e+36 
 1979-01-01 260.25  19.25        0 
 1979-01-01 260.75  19.25        0 
 1979-01-01 261.25  19.25        0 
 1979-01-01 261.75  19.25 0.117846 
 1979-01-01 262.25  19.25 0.913983 
 1979-01-01 262.75  19.25  2.45793 
 1979-01-01 263.25  19.25  1.56261 
 1979-01-01 263.75  19.25   0.5084 
 1979-01-01 264.25  19.25 -9.96921e+36 
 1979-01-01 264.75  19.25 -9.96921e+36 
 1979-01-01 265.25  19.25 -9.96921e+36 
 1979-01-01 265.75  19.25 -9.96921e+36 
 1979-01-01 266.25  19.25 -9.96921e+36 
 1979-01-01 266.75  19.25 -9.96921e+36 
 1979-01-01 267.25  19.25 -9.96921e+36 
 1979-01-01 267.75  19.25 -9.96921e+36 
 1979-01-01 268.25  19.25 -9.96921e+36 
 1979-01-01 268.75  19.25        0 
 1979-01-01 269.25  19.25        0 
 1979-01-01 269.75  19.25 0.0475172 
 1979-01-01 270.25  19.25 0.104882 
 1979-01-01 270.75  19.25 0.0707778 
 1979-01-01 271.25  19.25        0 
 1979-01-01 271.75  19.25        0 
 1979-01-01 272.25  19.25        0 
 1979-01-01 272.75  19.25        0 
 1979-01-01 273.25  19.25 -9.96921e+36 
 1979-01-01 273.75  19.25 -9.96921e+36 
 1979-01-01 274.25  19.25 -9.96921e+36 
 1979-01-01 274.75  19.25 -9.96921e+36 
 1979-01-01 275.25  19.25 -9.96921e+36 
 1979-01-01 275.75  19.25 -9.96921e+36 
 1979-01-01 276.25  19.25 -9.96921e+36 
 1979-01-01 276.75  19.25 -9.96921e+36 
 1979-01-01 277.25  19.25 -9.96921e+36 
 1979-01-01 277.75  19.25 -9.96921e+36 
 1979-01-01 278.25  19.25 -9.96921e+36 
 1979-01-01 278.75  19.25   7.8913 
 1979-01-01 279.25  19.25 -9.96921e+36 
 1979-01-01 279.75  19.25 -9.96921e+36 
 1979-01-01 280.25  19.25 -9.96921e+36 
 1979-01-01 280.75  19.25 -9.96921e+36 
 1979-01-01 281.25  19.25 -9.96921e+36 
 1979-01-01 281.75  19.25 -9.96921e+36 
 1979-01-01 282.25  19.25 -9.96921e+36 
 1979-01-01 282.75  19.25 -9.96921e+36 
 1979-01-01 283.25  19.25 -9.96921e+36 
 1979-01-01 283.75  19.25 -9.96921e+36 
 1979-01-01 284.25  19.25 -9.96921e+36 
 1979-01-01 284.75  19.25 -9.96921e+36 
 1979-01-01 285.25  19.25 -9.96921e+36 
 1979-01-01 285.75  19.25 -9.96921e+36 
 1979-01-01 286.25  19.25 -9.96921e+36 
 1979-01-01 286.75  19.25 -9.96921e+36 
 1979-01-01 287.25  19.25  2.68106 
 1979-01-01 287.75  19.25  5.92305 
 1979-01-01 288.25  19.25  10.8452 
 1979-01-01 288.75  19.25  13.8299 
 1979-01-01 289.25  19.25  15.6342 
 1979-01-01 289.75  19.25  18.8425 
 1979-01-01 290.25  19.25  16.5215 
 1979-01-01 290.75  19.25  12.0288 
 1979-01-01 291.25  19.25  9.03525 
 1979-01-01 291.75  19.25 -9.96921e+36 
 1979-01-01 292.25  19.25 -9.96921e+36 
 1979-01-01 292.75  19.25 -9.96921e+36 
 1979-01-01 293.25  19.25 -9.96921e+36 
 1979-01-01 293.75  19.25 -9.96921e+36 
 1979-01-01 294.25  19.25 -9.96921e+36 
